step		pdb_file		charge		n_min		n_plus		rosetta_energy (kT)		psi_av (mV)		delta_psi_sq (mV^2)
29   pdb/out/M_C3_Q12_29.pdb   -12   108   96   -2910.3313200835014   -0.38388803824528983   4.307531014951537
30   pdb/out/M_C3_Q12_30.pdb   -12   108   96   -2910.3313200835014   -0.38388803824528983   4.307531014951537
31   pdb/out/M_C3_Q12_31.pdb   -12   108   96   -2910.3313200835014   -0.38388803824528983   4.307531014951537
32   pdb/out/M_C3_Q12_32.pdb   -12   105   93   -2908.4257918066933   -0.378079220318144   4.382134635246754
33   pdb/out/M_C3_Q12_33.pdb   -12   105   93   -2908.4257918066933   -0.378079220318144   4.382134635246754
34   pdb/out/M_C3_Q12_34.pdb   -12   105   93   -2908.4257918066933   -0.378079220318144   4.382134635246754
35   pdb/out/M_C3_Q12_35.pdb   -12   102   90   -2907.4126562163297   -0.3808818924084974   3.9323631729722646
36   pdb/out/M_C3_Q12_36.pdb   -12   102   90   -2909.1253729221107   -0.38648337201493216   3.862536395874829
37   pdb/out/M_C3_Q12_37.pdb   -12   102   90   -2909.1253729221107   -0.38648337201493216   3.862536395874829
38   pdb/out/M_C3_Q12_38.pdb   -12   102   90   -2914.153315020756   -0.37998392802896147   3.621925432264019
39   pdb/out/M_C3_Q12_39.pdb   -12   96   84   -2927.5433494922145   -0.31773374572781554   3.657310594697319
40   pdb/out/M_C3_Q12_40.pdb   -12   96   84   -2929.5492546941937   -0.2996264157409999   3.7708571568431046
41   pdb/out/M_C3_Q12_41.pdb   -12   96   84   -2927.802030127231   -0.308959822919658   3.6449722201388224
42   pdb/out/M_C3_Q12_42.pdb   -12   99   87   -2918.054749189337   -0.254727631527242   3.462098729956322
43   pdb/out/M_C3_Q12_43.pdb   -12   105   93   -2906.0420469121977   -0.24488506170743884   3.4885235267497037
44   pdb/out/M_C3_Q12_44.pdb   -12   105   93   -2906.0420469121977   -0.24488506170743884   3.4885235267497037
45   pdb/out/M_C3_Q12_45.pdb   -12   105   93   -2906.0420469121977   -0.24488506170743884   3.4885235267497037
46   pdb/out/M_C3_Q12_46.pdb   -12   102   90   -2901.775432123683   -0.19690401417526612   3.8893444048102968
47   pdb/out/M_C3_Q12_47.pdb   -12   102   90   -2905.655169241051   -0.21179408129825153   4.139747304108907
48   pdb/out/M_C3_Q12_48.pdb   -12   102   90   -2905.655169241051   -0.21179408129825153   4.139747304108907
49   pdb/out/M_C3_Q12_49.pdb   -12   99   87   -2913.649245660481   -0.1724791380256489   4.09623768914263
50   pdb/out/M_C3_Q12_50.pdb   -12   102   90   -2904.856262029337   -0.2482422779507971   3.497461105370207
51   pdb/out/M_C3_Q12_51.pdb   -12   102   90   -2905.2175891443003   -0.24155669719290723   3.6178845887869913
52   pdb/out/M_C3_Q12_52.pdb   -12   102   90   -2899.9314660991536   -0.2320056617386946   3.850835474958723
53   pdb/out/M_C3_Q12_53.pdb   -12   102   90   -2899.9314660991536   -0.2320056617386946   3.850835474958723
54   pdb/out/M_C3_Q12_54.pdb   -12   102   90   -2903.0644555611752   -0.25910161953117544   3.7149354277052837
55   pdb/out/M_C3_Q12_55.pdb   -12   102   90   -2901.6679100298643   -0.34641001298693497   4.0977130949622875
56   pdb/out/M_C3_Q12_56.pdb   -12   102   90   -2901.6679100298643   -0.34641001298693497   4.0977130949622875
57   pdb/out/M_C3_Q12_57.pdb   -12   102   90   -2914.235768020223   -0.3374144912263787   3.732437872936452
58   pdb/out/M_C3_Q12_58.pdb   -12   102   90   -2912.968516634554   -0.3178584866959903   3.7849890452811246
59   pdb/out/M_C3_Q12_59.pdb   -12   102   90   -2914.250042085442   -0.33169346704131325   3.7248142533188573
60   pdb/out/M_C3_Q12_60.pdb   -12   102   90   -2915.3309272414713   -0.33469184312326067   3.68939079909883
61   pdb/out/M_C3_Q12_61.pdb   -12   102   90   -2915.3695539957903   -0.3378622781215923   3.696659516157776
62   pdb/out/M_C3_Q12_62.pdb   -12   105   93   -2910.9584742896855   -0.36972205312357753   3.6780556035759275
63   pdb/out/M_C3_Q12_63.pdb   -12   105   93   -2910.9584742896855   -0.36972205312357753   3.6780556035759275
64   pdb/out/M_C3_Q12_64.pdb   -12   105   93   -2910.9584742896855   -0.36972205312357753   3.6780556035759275
65   pdb/out/M_C3_Q12_65.pdb   -12   105   93   -2910.9584742896855   -0.36972205312357753   3.6780556035759275
66   pdb/out/M_C3_Q12_66.pdb   -12   105   93   -2910.9584742896855   -0.36972205312357753   3.6780556035759275
67   pdb/out/M_C3_Q12_67.pdb   -12   105   93   -2902.739351708037   -0.4510961553936666   3.708458331606395
68   pdb/out/M_C3_Q12_68.pdb   -12   105   93   -2902.739351708037   -0.4510961553936666   3.708458331606395
69   pdb/out/M_C3_Q12_69.pdb   -12   105   93   -2902.739351708037   -0.4510961553936666   3.708458331606395
70   pdb/out/M_C3_Q12_70.pdb   -12   102   90   -2910.604504112888   -0.4523494420945022   3.4632260374339525
71   pdb/out/M_C3_Q12_71.pdb   -12   102   90   -2914.460482065539   -0.4213039597677962   3.577654577804537
72   pdb/out/M_C3_Q12_72.pdb   -12   102   90   -2914.460482065539   -0.4213039597677962   3.577654577804537
73   pdb/out/M_C3_Q12_73.pdb   -12   99   87   -2915.92219915734   -0.47304541016290713   3.531926704835998
74   pdb/out/M_C3_Q12_74.pdb   -12   99   87   -2910.5175149906477   -0.5546249025941002   3.716850139052239
75   pdb/out/M_C3_Q12_75.pdb   -12   96   84   -2912.871589874076   -0.41093976999854676   4.7322008537433025
76   pdb/out/M_C3_Q12_76.pdb   -12   96   84   -2921.8981853898476   -0.40929926781394255   4.870134995562234
77   pdb/out/M_C3_Q12_77.pdb   -12   96   84   -2908.7784807302737   -0.38844409499376925   5.047055297713974
78   pdb/out/M_C3_Q12_78.pdb   -12   96   84   -2916.1768911886325   -0.32915118553360206   4.849977334068651
79   pdb/out/M_C3_Q12_79.pdb   -12   96   84   -2907.7756105091053   -0.28472086221250736   4.862215752852153
80   pdb/out/M_C3_Q12_80.pdb   -12   96   84   -2907.7756105091053   -0.28472086221250736   4.862215752852153
81   pdb/out/M_C3_Q12_81.pdb   -12   96   84   -2907.7756105091053   -0.28472086221250736   4.862215752852153
82   pdb/out/M_C3_Q12_82.pdb   -12   99   87   -2912.22868581223   -0.3137437775147202   4.770741616151855
83   pdb/out/M_C3_Q12_83.pdb   -12   96   84   -2922.2062846191247   -0.366871873779877   4.5634467911274665
84   pdb/out/M_C3_Q12_84.pdb   -12   96   84   -2921.2605991432715   -0.2872104152759066   4.616677386829946
85   pdb/out/M_C3_Q12_85.pdb   -12   96   84   -2921.2605991432715   -0.2872104152759066   4.616677386829946
86   pdb/out/M_C3_Q12_86.pdb   -12   96   84   -2921.2605991432715   -0.2872104152759066   4.616677386829946
87   pdb/out/M_C3_Q12_87.pdb   -12   96   84   -2921.2605991432715   -0.2872104152759066   4.616677386829946
88   pdb/out/M_C3_Q12_88.pdb   -12   96   84   -2921.3814684898343   -0.28318240341055834   4.610681204593995
89   pdb/out/M_C3_Q12_89.pdb   -12   93   81   -2912.816373305358   -0.28279400114890274   4.475887783744926
90   pdb/out/M_C3_Q12_90.pdb   -12   93   81   -2912.816373305358   -0.28279400114890274   4.475887783744926
91   pdb/out/M_C3_Q12_91.pdb   -12   96   84   -2906.4393604682423   -0.2986555254337837   4.318864306137044
92   pdb/out/M_C3_Q12_92.pdb   -12   93   81   -2903.604193104397   -0.28477380822649606   4.401266251020298
93   pdb/out/M_C3_Q12_93.pdb   -12   96   84   -2898.275247142634   -0.22595046372409608   4.820002286637227
94   pdb/out/M_C3_Q12_94.pdb   -12   96   84   -2898.275247142634   -0.22595046372409608   4.820002286637227
95   pdb/out/M_C3_Q12_95.pdb   -12   96   84   -2898.275247142634   -0.22595046372409608   4.820002286637227
96   pdb/out/M_C3_Q12_96.pdb   -12   99   87   -2895.131569361189   -0.24899225121869695   4.958947554719765
97   pdb/out/M_C3_Q12_97.pdb   -12   99   87   -2897.3530408714814   -0.2688363273446596   4.692252300745138
98   pdb/out/M_C3_Q12_98.pdb   -12   99   87   -2897.3530408714814   -0.2688363273446596   4.692252300745138
99   pdb/out/M_C3_Q12_99.pdb   -12   99   87   -2897.3530408714814   -0.2688363273446596   4.692252300745138
100   pdb/out/M_C3_Q12_100.pdb   -12   99   87   -2897.3530408714814   -0.2688363273446596   4.692252300745138
101   pdb/out/M_C3_Q12_101.pdb   -12   99   87   -2895.456878687096   -0.2947416213272413   4.713824050917647
102   pdb/out/M_C3_Q12_102.pdb   -12   96   84   -2902.480989211006   -0.37293275174575946   4.931457952465807
103   pdb/out/M_C3_Q12_103.pdb   -12   96   84   -2902.480989211006   -0.37293275174575946   4.931457952465807
104   pdb/out/M_C3_Q12_104.pdb   -12   96   84   -2912.2209375726206   -0.4507959198196209   4.933221549736637
105   pdb/out/M_C3_Q12_105.pdb   -12   96   84   -2912.2209375726206   -0.4507959198196209   4.933221549736637
106   pdb/out/M_C3_Q12_106.pdb   -12   96   84   -2912.081997227342   -0.45344971621832225   4.944814339646634
107   pdb/out/M_C3_Q12_107.pdb   -12   96   84   -2912.2209375726206   -0.4507959198196209   4.933221549736637
108   pdb/out/M_C3_Q12_108.pdb   -12   96   84   -2912.2209375726206   -0.4507959198196209   4.933221549736637
109   pdb/out/M_C3_Q12_109.pdb   -12   96   84   -2912.2209375726206   -0.4507959198196209   4.933221549736637
110   pdb/out/M_C3_Q12_110.pdb   -12   96   84   -2918.5917225410935   -0.31007760428182274   4.554083669842746
111   pdb/out/M_C3_Q12_111.pdb   -12   96   84   -2918.5917225410935   -0.31007760428182274   4.554083669842746
112   pdb/out/M_C3_Q12_112.pdb   -12   96   84   -2919.6504446810927   -0.3114819391912617   4.542495275020895
113   pdb/out/M_C3_Q12_113.pdb   -12   99   87   -2919.3009532669394   -0.3201734867367447   4.565465505405396
114   pdb/out/M_C3_Q12_114.pdb   -12   99   87   -2912.9574126659636   -0.25581766227366487   4.3972217677585155
115   pdb/out/M_C3_Q12_115.pdb   -12   96   84   -2919.831057684604   -0.202704183140953   4.549877798792572
116   pdb/out/M_C3_Q12_116.pdb   -12   96   84   -2913.649376453978   -0.2111065755969719   4.579700835002008
117   pdb/out/M_C3_Q12_117.pdb   -12   96   84   -2913.649376453978   -0.2111065755969719   4.579700835002008
118   pdb/out/M_C3_Q12_118.pdb   -12   96   84   -2913.649376453978   -0.2111065755969719   4.579700835002008
119   pdb/out/M_C3_Q12_119.pdb   -12   96   84   -2913.649376453978   -0.2111065755969719   4.579700835002008
120   pdb/out/M_C3_Q12_120.pdb   -12   96   84   -2913.649376453978   -0.2111065755969719   4.579700835002008
121   pdb/out/M_C3_Q12_121.pdb   -12   93   81   -2909.684724993359   -0.14490603278718311   4.587904925009723
122   pdb/out/M_C3_Q12_122.pdb   -12   90   78   -2903.6852837368465   -0.24619868346163695   4.405660761392426
123   pdb/out/M_C3_Q12_123.pdb   -12   93   81   -2901.034503180479   -0.27495891141491635   4.315826144585833
124   pdb/out/M_C3_Q12_124.pdb   -12   93   81   -2903.5770814436887   -0.27663373914191525   4.456328188212032
125   pdb/out/M_C3_Q12_125.pdb   -12   90   78   -2904.222884743463   -0.32784247258751353   4.310938563277446
126   pdb/out/M_C3_Q12_126.pdb   -12   90   78   -2904.222884743463   -0.32784247258751353   4.310938563277446
127   pdb/out/M_C3_Q12_127.pdb   -12   90   78   -2889.545481962732   -0.3153678413190979   4.259709582979904
128   pdb/out/M_C3_Q12_128.pdb   -12   90   78   -2889.545481962732   -0.3153678413190979   4.259709582979904
129   pdb/out/M_C3_Q12_129.pdb   -12   90   78   -2889.545481962732   -0.3153678413190979   4.259709582979904
130   pdb/out/M_C3_Q12_130.pdb   -12   93   81   -2880.3889230777368   -0.29676616323629323   4.181551219347721
131   pdb/out/M_C3_Q12_131.pdb   -12   93   81   -2880.3889230777368   -0.29676616323629323   4.181551219347721
132   pdb/out/M_C3_Q12_132.pdb   -12   96   84   -2886.089800929912   -0.30178661753247077   4.193438334329277
133   pdb/out/M_C3_Q12_133.pdb   -12   99   87   -2880.143214997362   -0.3786896124952393   4.582951610253132
134   pdb/out/M_C3_Q12_134.pdb   -12   99   87   -2895.5044885361754   -0.30985141271523015   4.444850610738072
135   pdb/out/M_C3_Q12_135.pdb   -12   99   87   -2889.6653650718977   -0.35890562178104485   4.557258645909216
136   pdb/out/M_C3_Q12_136.pdb   -12   99   87   -2889.6653650718977   -0.35890562178104485   4.557258645909216
137   pdb/out/M_C3_Q12_137.pdb   -12   99   87   -2889.6653650718977   -0.35890562178104485   4.557258645909216
138   pdb/out/M_C3_Q12_138.pdb   -12   99   87   -2902.2764209935167   -0.3625491722639529   4.304840535803833
139   pdb/out/M_C3_Q12_139.pdb   -12   99   87   -2902.2764209935167   -0.3625491722639529   4.304840535803833
140   pdb/out/M_C3_Q12_140.pdb   -12   96   84   -2902.318885788625   -0.3610438160030875   4.241182567810952
141   pdb/out/M_C3_Q12_141.pdb   -12   96   84   -2902.318885788625   -0.3610438160030875   4.241182567810952
142   pdb/out/M_C3_Q12_142.pdb   -12   96   84   -2902.318885788625   -0.3610438160030875   4.241182567810952
143   pdb/out/M_C3_Q12_143.pdb   -12   96   84   -2903.7804703297165   -0.3380984732857948   4.403498271044351
144   pdb/out/M_C3_Q12_144.pdb   -12   96   84   -2903.7804703297165   -0.3380984732857948   4.403498271044351
145   pdb/out/M_C3_Q12_145.pdb   -12   96   84   -2903.7804703297165   -0.3380984732857948   4.403498271044351
146   pdb/out/M_C3_Q12_146.pdb   -12   93   81   -2915.1086273569454   -0.31898446140515824   4.3421055779918145
147   pdb/out/M_C3_Q12_147.pdb   -12   93   81   -2911.751817790287   -0.26849024539447824   4.739862873735046
148   pdb/out/M_C3_Q12_148.pdb   -12   93   81   -2901.7050561255414   -0.1450038117764642   5.246485907118076
149   pdb/out/M_C3_Q12_149.pdb   -12   93   81   -2901.7050561255414   -0.1450038117764642   5.246485907118076
150   pdb/out/M_C3_Q12_150.pdb   -12   93   81   -2901.7050561255414   -0.1450038117764642   5.246485907118076
151   pdb/out/M_C3_Q12_151.pdb   -12   93   81   -2901.7050561255414   -0.1450038117764642   5.246485907118076
152   pdb/out/M_C3_Q12_152.pdb   -12   93   81   -2901.7050561255414   -0.1450038117764642   5.246485907118076
153   pdb/out/M_C3_Q12_153.pdb   -12   93   81   -2901.7050561255414   -0.1450038117764642   5.246485907118076
154   pdb/out/M_C3_Q12_154.pdb   -12   96   84   -2900.5670605767414   -0.18649401610506794   5.139612244743786
155   pdb/out/M_C3_Q12_155.pdb   -12   96   84   -2900.5670605767414   -0.18649401610506794   5.139612244743786
156   pdb/out/M_C3_Q12_156.pdb   -12   93   81   -2900.807875037581   -0.18333582517688626   5.126404189852917
157   pdb/out/M_C3_Q12_157.pdb   -12   93   81   -2896.5857453767317   -0.2547124922464927   4.88164759287456
158   pdb/out/M_C3_Q12_158.pdb   -12   93   81   -2903.871183436299   -0.2861665625840097   4.60197805449346
159   pdb/out/M_C3_Q12_159.pdb   -12   93   81   -2903.871183436299   -0.2861665625840097   4.60197805449346
160   pdb/out/M_C3_Q12_160.pdb   -12   90   78   -2921.1614299859266   -0.35984703831763853   4.082547571161256
161   pdb/out/M_C3_Q12_161.pdb   -12   90   78   -2929.2609573196646   -0.3051233473449604   4.040167710451218
162   pdb/out/M_C3_Q12_162.pdb   -12   90   78   -2922.6133121633884   -0.38023731597896354   3.318206116251207
163   pdb/out/M_C3_Q12_163.pdb   -12   93   81   -2925.5697679978975   -0.40614432129797867   3.1886474339934026
164   pdb/out/M_C3_Q12_164.pdb   -12   93   81   -2935.4023584344473   -0.4194516623559836   3.064137798113246
165   pdb/out/M_C3_Q12_165.pdb   -12   93   81   -2935.4023584344473   -0.4194516623559836   3.064137798113246
166   pdb/out/M_C3_Q12_166.pdb   -12   93   81   -2936.388465666768   -0.3718603798568083   3.337407607570692
167   pdb/out/M_C3_Q12_167.pdb   -12   93   81   -2936.388465666768   -0.3718603798568083   3.337407607570692
168   pdb/out/M_C3_Q12_168.pdb   -12   90   78   -2936.6974077273985   -0.39390294612453075   3.294861143426652
169   pdb/out/M_C3_Q12_169.pdb   -12   90   78   -2936.5720364372446   -0.38955832072031304   3.3044807115605743
170   pdb/out/M_C3_Q12_170.pdb   -12   90   78   -2935.566079507084   -0.37041735613028526   3.356533880610049
171   pdb/out/M_C3_Q12_171.pdb   -12   90   78   -2933.0237798957564   -0.3511564945188791   3.354329190669514
172   pdb/out/M_C3_Q12_172.pdb   -12   90   78   -2933.0237798957564   -0.3511564945188791   3.354329190669514
173   pdb/out/M_C3_Q12_173.pdb   -12   90   78   -2933.0237798957564   -0.3511564945188791   3.354329190669514
174   pdb/out/M_C3_Q12_174.pdb   -12   90   78   -2933.0237798957564   -0.3511564945188791   3.354329190669514
175   pdb/out/M_C3_Q12_175.pdb   -12   90   78   -2933.0237798957564   -0.3511564945188791   3.354329190669514
176   pdb/out/M_C3_Q12_176.pdb   -12   93   81   -2927.342766114806   -0.44734236660554   3.221861759888873
177   pdb/out/M_C3_Q12_177.pdb   -12   93   81   -2930.3963087817115   -0.4863033217325818   3.1033475526211576
178   pdb/out/M_C3_Q12_178.pdb   -12   93   81   -2930.3963087817115   -0.4863033217325818   3.1033475526211576
179   pdb/out/M_C3_Q12_179.pdb   -12   93   81   -2930.3963087817115   -0.4863033217325818   3.1033475526211576
180   pdb/out/M_C3_Q12_180.pdb   -12   93   81   -2930.3963087817115   -0.4863033217325818   3.1033475526211576
181   pdb/out/M_C3_Q12_181.pdb   -12   93   81   -2915.31265868664   -0.49496190256932127   3.183049312850183
182   pdb/out/M_C3_Q12_182.pdb   -12   93   81   -2915.5502921069015   -0.4996353499528589   3.161869304249472
183   pdb/out/M_C3_Q12_183.pdb   -12   93   81   -2915.5502921069015   -0.4996353499528589   3.161869304249472
184   pdb/out/M_C3_Q12_184.pdb   -12   93   81   -2915.5502921069015   -0.4996353499528589   3.161869304249472
185   pdb/out/M_C3_Q12_185.pdb   -12   93   81   -2915.5502921069015   -0.4996353499528589   3.161869304249472
186   pdb/out/M_C3_Q12_186.pdb   -12   93   81   -2915.5502921069015   -0.4996353499528589   3.161869304249472
187   pdb/out/M_C3_Q12_187.pdb   -12   93   81   -2915.2187936678592   -0.49431656429927584   3.161527299608318
188   pdb/out/M_C3_Q12_188.pdb   -12   93   81   -2915.2187936678592   -0.49431656429927584   3.161527299608318
189   pdb/out/M_C3_Q12_189.pdb   -12   93   81   -2915.2187936678592   -0.49431656429927584   3.161527299608318
190   pdb/out/M_C3_Q12_190.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
191   pdb/out/M_C3_Q12_191.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
192   pdb/out/M_C3_Q12_192.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
193   pdb/out/M_C3_Q12_193.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
194   pdb/out/M_C3_Q12_194.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
195   pdb/out/M_C3_Q12_195.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
196   pdb/out/M_C3_Q12_196.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
197   pdb/out/M_C3_Q12_197.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
198   pdb/out/M_C3_Q12_198.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
199   pdb/out/M_C3_Q12_199.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
200   pdb/out/M_C3_Q12_200.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
201   pdb/out/M_C3_Q12_201.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
202   pdb/out/M_C3_Q12_202.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
203   pdb/out/M_C3_Q12_203.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
204   pdb/out/M_C3_Q12_204.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
205   pdb/out/M_C3_Q12_205.pdb   -12   93   81   -2911.5709864622263   -0.46858483074109686   3.2337601157146034
206   pdb/out/M_C3_Q12_206.pdb   -12   93   81   -2906.5646554722616   -0.4864562371459909   3.25016186666667
207   pdb/out/M_C3_Q12_207.pdb   -12   93   81   -2911.478790021931   -0.48023478021525856   3.1589980588603805
208   pdb/out/M_C3_Q12_208.pdb   -12   93   81   -2911.178993592995   -0.4767187839730871   3.1723234324948635
209   pdb/out/M_C3_Q12_209.pdb   -12   93   81   -2911.178993592995   -0.4767187839730871   3.1723234324948635
210   pdb/out/M_C3_Q12_210.pdb   -12   93   81   -2911.178993592995   -0.4767187839730871   3.1723234324948635
211   pdb/out/M_C3_Q12_211.pdb   -12   93   81   -2911.178993592995   -0.4767187839730871   3.1723234324948635
212   pdb/out/M_C3_Q12_212.pdb   -12   93   81   -2911.178993592995   -0.4767187839730871   3.1723234324948635
213   pdb/out/M_C3_Q12_213.pdb   -12   93   81   -2912.689027738925   -0.4777592692918006   3.1640433539646073
214   pdb/out/M_C3_Q12_214.pdb   -12   93   81   -2930.2462648327646   -0.5394019725917665   3.3104844650804828
215   pdb/out/M_C3_Q12_215.pdb   -12   93   81   -2930.2462648327646   -0.5394019725917665   3.3104844650804828
216   pdb/out/M_C3_Q12_216.pdb   -12   93   81   -2916.8669040475534   -0.5611589380698592   3.2718850745015464
217   pdb/out/M_C3_Q12_217.pdb   -12   93   81   -2916.8669040475534   -0.5611589380698592   3.2718850745015464
218   pdb/out/M_C3_Q12_218.pdb   -12   96   84   -2911.9587786881093   -0.6039627784233026   3.379274167011634
219   pdb/out/M_C3_Q12_219.pdb   -12   96   84   -2911.9587786881093   -0.6039627784233026   3.379274167011634
220   pdb/out/M_C3_Q12_220.pdb   -12   96   84   -2911.9587786881093   -0.6039627784233026   3.379274167011634
221   pdb/out/M_C3_Q12_221.pdb   -12   96   84   -2914.359897965762   -0.6016864045383505   3.3636263585497526
222   pdb/out/M_C3_Q12_222.pdb   -12   96   84   -2914.359897965762   -0.6016864045383505   3.3636263585497526
223   pdb/out/M_C3_Q12_223.pdb   -12   96   84   -2914.359897965762   -0.6016864045383505   3.3636263585497526
224   pdb/out/M_C3_Q12_224.pdb   -12   99   87   -2907.400185812565   -0.6028359119036749   3.248055708625065
225   pdb/out/M_C3_Q12_225.pdb   -12   99   87   -2912.333239322458   -0.6513216677377565   3.6046360717696437
226   pdb/out/M_C3_Q12_226.pdb   -12   99   87   -2903.127598007476   -0.5888874202231336   3.4789385714301457
227   pdb/out/M_C3_Q12_227.pdb   -12   99   87   -2903.127598007476   -0.5888874202231336   3.4789385714301457
228   pdb/out/M_C3_Q12_228.pdb   -12   99   87   -2897.6267495809334   -0.5859385039612107   3.4534617183492453
229   pdb/out/M_C3_Q12_229.pdb   -12   102   90   -2910.153634047902   -0.5696680334892824   3.296233591472045
230   pdb/out/M_C3_Q12_230.pdb   -12   102   90   -2915.6398297044984   -0.6232298104521494   3.0466175349338744
231   pdb/out/M_C3_Q12_231.pdb   -12   102   90   -2923.974373171077   -0.4718334105011822   3.082656558596817
232   pdb/out/M_C3_Q12_232.pdb   -12   102   90   -2923.974373171077   -0.4718334105011822   3.082656558596817
233   pdb/out/M_C3_Q12_233.pdb   -12   102   90   -2923.974373171077   -0.4718334105011822   3.082656558596817
234   pdb/out/M_C3_Q12_234.pdb   -12   102   90   -2923.974373171077   -0.4718334105011822   3.082656558596817
235   pdb/out/M_C3_Q12_235.pdb   -12   102   90   -2923.974373171077   -0.4718334105011822   3.082656558596817
236   pdb/out/M_C3_Q12_236.pdb   -12   102   90   -2923.779576730526   -0.41589528692225675   3.388804139257322
237   pdb/out/M_C3_Q12_237.pdb   -12   102   90   -2923.779576730526   -0.41589528692225675   3.388804139257322
238   pdb/out/M_C3_Q12_238.pdb   -12   102   90   -2921.316481439476   -0.4829916710225344   3.4492725419832553
